date,date,Portland_avg_price,SF_avg_price
2017-03-26,2017-03-26,67.34788016439542,132.74114448898897
2017-04-02,2017-04-02,67.5766158315178,133.54505190701875
2017-04-09,2017-04-09,68.09157486987047,137.30836624298942
2017-04-16,2017-04-16,68.4079149309362,135.32103608324599
2017-04-23,2017-04-23,67.98873578875674,134.55357752246616
2017-04-30,2017-04-30,67.78728247673007,134.13994153014508
2017-05-07,2017-05-07,68.55969680876744,138.93516291932187
2017-05-14,2017-05-14,69.1664072307306,140.16802238563156
2017-05-21,2017-05-21,69.1627964274715,141.10570147341448
2017-05-28,2017-05-28,69.23360800470866,140.56633596253388
2017-06-04,2017-06-04,70.63857902865969,143.52304163726183
2017-06-11,2017-06-11,72.4071808893366,145.85582348079203
2017-06-18,2017-06-18,72.05875161312233,145.95992067633858
2017-06-25,2017-06-25,72.05005382131324,148.00094617325485
2017-07-02,2017-07-02,72.12425120772947,147.1082318624292
2017-07-09,2017-07-09,73.79445520942018,151.1259451704215
2017-07-16,2017-07-16,74.13751177326826,152.64989175278788
2017-07-23,2017-07-23,74.47217877094972,152.82511846421772
2017-07-30,2017-07-30,73.8733595800525,152.4806260736782
2017-08-06,2017-08-06,74.88376609364886,155.7925083545314
2017-08-13,2017-08-13,76.59630055387188,163.18134336153767
2017-08-20,2017-08-20,77.23471463754149,152.0908803415425
2017-08-27,2017-08-27,76.70846712861247,149.11652828046272
2017-09-03,2017-09-03,75.539968,149.92660550458714
2017-09-10,2017-09-10,75.27216783216784,151.05124152559998
2017-09-17,2017-09-17,74.80016024571009,151.08260980592442
2017-09-24,2017-09-24,74.38099359529167,148.09849895496865
2017-10-01,2017-10-01,73.83964484381686,146.95307050796058
2017-10-08,2017-10-08,73.21157146359401,160.66999785084892
2017-10-15,2017-10-15,73.03974462210974,146.74533286368438
2017-10-22,2017-10-22,72.58100294365012,145.4955503024404
2017-10-29,2017-10-29,72.61739780658026,144.5147724334109
2017-11-05,2017-11-05,74.66047638272103,148.048480723808
2017-11-12,2017-11-12,77.56613866888982,155.61372533354637
2017-11-19,2017-11-19,74.79893000445831,139.22744970798183
2017-11-26,2017-11-26,75.1499008521357,139.48966149122154
2017-12-03,2017-12-03,73.80146628884991,137.19399918724883
2017-12-10,2017-12-10,72.5087580611608,136.27375197889182
2017-12-17,2017-12-17,71.02677021470991,135.22627997894895
2017-12-24,2017-12-24,71.81431093571503,136.45378444366935
2017-12-31,2017-12-31,72.99381107491857,141.10946113413956
2018-01-07,2018-01-07,68.00212172647915,136.01965958889184
2018-01-14,2018-01-14,65.93123998718359,135.46388332363904
2018-01-21,2018-01-21,65.9138874351777,133.4760536066766
2018-01-28,2018-01-28,65.60455769806319,133.50665097885414
2018-02-04,2018-02-04,65.67456281780974,133.60576732450212
2018-02-11,2018-02-11,65.96932371857338,133.15654331197024
2018-02-18,2018-02-18,65.88385209943597,133.74233986328593
2018-02-25,2018-02-25,65.08813816494109,132.3628044430857
2018-03-04,2018-03-04,65.4577105978261,132.8444325172371
2018-03-11,2018-03-11,65.97674529199163,133.98797407328047
2018-03-18,2018-03-18,65.77284611950769,134.37822732519288
2018-03-25,2018-03-25,65.95927659036298,139.103562661713
2018-04-01,2018-04-01,66.51142607392607,133.51014741663087
